PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9004,33,Male,Europe,Action,15.53194452113429,0,Medium,2,131,95,37,Medium
9005,37,Male,Europe,RPG,20.561855414112557,0,Easy,2,81,74,22,Low
9008,38,Female,Europe,Simulation,18.15273259575482,0,Easy,5,101,23,41,Medium
9015,16,Male,Europe,RPG,7.951511339057053,0,Medium,10,156,58,24,High
9023,30,Male,Europe,Strategy,17.959834855223,0,Easy,14,117,40,19,High
9024,29,Male,Europe,Sports,22.56472310015379,0,Medium,12,161,1,22,High
9028,23,Male,Europe,Simulation,3.218365077668621,0,Easy,14,57,2,1,Medium
9032,28,Female,Europe,Action,14.527638765802958,0,Hard,0,127,48,48,Low
9036,34,Male,Europe,Action,13.776451193864396,0,Hard,19,28,79,41,Medium
9038,21,Female,Europe,Action,1.9080071501124567,0,Medium,11,112,14,0,Medium
9039,22,Female,Europe,Sports,5.560105967959029,0,Hard,3,116,52,44,Medium
9040,49,Female,Europe,Strategy,13.714087008439236,1,Medium,15,43,93,29,Medium
9044,16,Female,Europe,Action,2.61963355317819,0,Easy,14,149,10,34,High
9049,40,Male,Europe,Sports,17.06770113669252,0,Hard,8,94,31,13,Medium
9052,28,Male,Europe,Simulation,11.216713856822746,0,Easy,8,134,64,25,Medium
9053,45,Male,Europe,Simulation,23.70289731941193,1,Easy,1,50,95,26,Low
9054,29,Male,Europe,RPG,9.210122598314191,1,Easy,15,171,6,16,High
9062,40,Female,Europe,Simulation,3.529623978015405,0,Easy,2,94,76,42,Medium
9068,21,Female,Europe,Action,19.025309404996168,0,Easy,13,30,3,40,Medium
9070,38,Female,Europe,Action,20.16071100731581,0,Easy,13,79,29,32,Medium
9072,22,Male,Europe,RPG,12.082181787612544,1,Easy,7,79,46,32,Medium
9073,38,Female,Europe,Strategy,2.2623788685222417,0,Medium,12,131,12,37,High
9074,25,Male,Europe,RPG,20.812949081354795,1,Easy,19,109,91,48,High
9080,19,Female,Europe,RPG,19.8608123586172,1,Easy,1,139,24,0,Low
9087,47,Male,Europe,Simulation,14.432201516019694,0,Hard,18,14,78,4,Low
9089,38,Male,Europe,RPG,6.496475465416331,1,Medium,8,107,11,7,Medium
9092,41,Female,Europe,Sports,5.694275828168046,1,Easy,7,12,77,28,Low
9095,49,Male,Europe,Sports,7.838044518431901,0,Easy,19,126,3,14,High
9097,17,Male,Europe,Strategy,8.644038308703859,0,Easy,3,117,1,11,Medium
9098,15,Female,Europe,Simulation,5.970601392200956,0,Easy,11,55,54,37,Medium
9100,40,Male,Europe,Sports,5.80504022403155,0,Medium,5,40,89,29,Medium
9101,28,Female,Europe,Strategy,22.350824629219,0,Hard,11,109,53,18,Medium
9102,41,Male,Europe,Sports,7.648375781283178,0,Easy,2,33,54,33,Low
9103,23,Female,Europe,Simulation,22.876692544657125,0,Medium,8,91,38,14,Medium
9105,29,Male,Europe,Sports,2.0673841286865047,1,Easy,15,101,73,45,High
9128,39,Female,Europe,RPG,14.173755660725837,0,Easy,15,108,49,32,High
9130,15,Female,Europe,Action,17.223879815467022,1,Hard,5,94,76,14,Medium
9133,17,Female,Europe,Strategy,9.483212067452136,0,Medium,7,78,54,36,Medium
9134,20,Male,Europe,Sports,19.047461153319887,0,Easy,18,14,49,5,Low
9139,38,Female,Europe,Action,5.990720486362284,1,Medium,7,43,72,16,Medium
9148,16,Male,Europe,Strategy,3.84468318202322,0,Hard,3,159,8,44,Low
9150,42,Male,Europe,Sports,0.0696432580417916,0,Hard,18,117,40,0,High
9153,47,Female,Europe,RPG,4.200586153886301,1,Hard,19,70,49,44,High
9155,33,Male,Europe,Simulation,15.047202136340912,0,Easy,11,92,39,43,Medium
9156,16,Male,Europe,Action,6.43544723306335,0,Easy,9,50,82,18,Medium
9157,40,Female,Europe,Strategy,20.427872446354915,0,Medium,3,138,36,30,Medium
9158,46,Male,Europe,Sports,12.306317179031524,1,Medium,11,179,91,4,High
9159,20,Male,Europe,RPG,13.545984293255724,1,Hard,12,135,66,49,High
9160,46,Male,Europe,Strategy,21.26668304303152,0,Easy,18,164,26,41,High
9161,18,Female,Europe,Sports,15.711803560774973,0,Easy,11,90,2,5,Medium
9163,31,Male,Europe,Sports,3.02265403529026,0,Hard,12,103,80,13,High
9168,36,Male,Europe,Action,19.89311377371636,0,Easy,11,142,61,48,High
9170,30,Female,Europe,Sports,1.899978614861616,0,Easy,5,144,79,13,Medium
9176,17,Female,Europe,RPG,17.9931805634337,1,Easy,6,24,49,1,Low
